Crop Stage,Region,Crop Disease,Cause
Germination & Emergence,Wardha,Gray Leaf Spot,High leaf wetness and poor air circulation
Germination & Emergence,Nandurbar,Rust,Fungal spores spread by wind
Tasseling,Osmanabad,Gray Leaf Spot,High leaf wetness and poor air circulation
Vegetative Growth,Gondia,Gray Leaf Spot,High leaf wetness and poor air circulation
Germination & Emergence,Mumbai Suburban,Healthy,Optimal growing conditions and good management
Germination & Emergence,Sangli,Smut,Soil-borne fungal pathogen
Grain Filling,Jalgaon,Rust,Fungal spores spread by wind
Germination & Emergence,Ahmednagar,Leaf Spot,Bacterial infection from contaminated soil
Seedling Stage,Pune,Gray Leaf Spot,High leaf wetness and poor air circulation
Seedling Stage,Pune,Downy Mildew,Moist soil and cool nights
Silking,Buldhana,Rust,Fungal spores spread by wind
Silking,Jalgaon,Leaf Blight,Fungal infection due to high humidity
Maturation & Harvest,Nandurbar,Smut,Soil-borne fungal pathogen
Tasseling,Chandrapur,Smut,Soil-borne fungal pathogen
Vegetative Growth,Nashik,Leaf Spot,Bacterial infection from contaminated soil
Vegetative Growth,Buldhana,Rust,Fungal spores spread by wind
Maturation & Harvest,Raigad,Smut,Soil-borne fungal pathogen
Grain Filling,Nashik,Smut,Soil-borne fungal pathogen
Maturation & Harvest,Gadchiroli,Leaf Spot,Bacterial infection from contaminated soil
Seedling Stage,Ratnagiri,Smut,Soil-borne fungal pathogen
Vegetative Growth,Osmanabad,Gray Leaf Spot,High leaf wetness and poor air circulation
Grain Filling,Mumbai City,Downy Mildew,Moist soil and cool nights
Seedling Stage,Nagpur,Healthy,Optimal growing conditions and good management
Maturation & Harvest,Nanded,Downy Mildew,Moist soil and cool nights
Grain Filling,Nashik,Healthy,Optimal growing conditions and good management
Grain Filling,Ratnagiri,Rust,Fungal spores spread by wind
Vegetative Growth,Gondia,Downy Mildew,Moist soil and cool nights
Tasseling,Solapur,Leaf Spot,Bacterial infection from contaminated soil
Maturation & Harvest,Palghar,Healthy,Optimal growing conditions and good management
Vegetative Growth,Yavatmal,Smut,Soil-borne fungal pathogen
Silking,Raigad,Gray Leaf Spot,High leaf wetness and poor air circulation
Maturation & Harvest,Ratnagiri,Smut,Soil-borne fungal pathogen
Grain Filling,Nanded,Downy Mildew,Moist soil and cool nights
Grain Filling,Pune,Healthy,Optimal growing conditions and good management
Tasseling,Marathwada,Leaf Blight,Fungal infection due to high humidity
Grain Filling,Kolhapur,Healthy,Optimal growing conditions and good management
Maturation & Harvest,Osmanabad,Leaf Spot,Bacterial infection from contaminated soil
Seedling Stage,Akola,Downy Mildew,Moist soil and cool nights
Tasseling,Nashik,Rust,Fungal spores spread by wind
Germination & Emergence,Ratnagiri,Rust,Fungal spores spread by wind
Germination & Emergence,Hingoli,Healthy,Optimal growing conditions and good management
Germination & Emergence,Gondia,Rust,Fungal spores spread by wind
Maturation & Harvest,Thane,Healthy,Optimal growing conditions and good management
Maturation & Harvest,Ahmednagar,Downy Mildew,Moist soil and cool nights
Germination & Emergence,Bhandara,Gray Leaf Spot,High leaf wetness and poor air circulation
Seedling Stage,Chandrapur,Healthy,Optimal growing conditions and good management
Tasseling,Satara,Gray Leaf Spot,High leaf wetness and poor air circulation
Silking,Nashik,Smut,Soil-borne fungal pathogen
Germination & Emergence,Solapur,Leaf Spot,Bacterial infection from contaminated soil
Seedling Stage,Sangli,Leaf Blight,Fungal infection due to high humidity
Tasseling,Mumbai City,Healthy,Optimal growing conditions and good management
Vegetative Growth,Buldhana,Downy Mildew,Moist soil and cool nights
Tasseling,Aurangabad,Smut,Soil-borne fungal pathogen
Vegetative Growth,Wardha,Downy Mildew,Moist soil and cool nights
Grain Filling,Mumbai Suburban,Leaf Spot,Bacterial infection from contaminated soil
Grain Filling,Pune,Leaf Blight,Fungal infection due to high humidity
Vegetative Growth,Bhandara,Gray Leaf Spot,High leaf wetness and poor air circulation
Tasseling,Aurangabad,Leaf Spot,Bacterial infection from contaminated soil
Maturation & Harvest,Buldhana,Downy Mildew,Moist soil and cool nights
Silking,Amravati,Rust,Fungal spores spread by wind
Seedling Stage,Gadchiroli,Leaf Blight,Fungal infection due to high humidity
Vegetative Growth,Marathwada,Leaf Blight,Fungal infection due to high humidity
Silking,Satara,Rust,Fungal spores spread by wind
Silking,Jalgaon,Downy Mildew,Moist soil and cool nights
Maturation & Harvest,Nagpur,Gray Leaf Spot,High leaf wetness and poor air circulation
Vegetative Growth,Ratnagiri,Rust,Fungal spores spread by wind
Silking,Osmanabad,Leaf Blight,Fungal infection due to high humidity
Maturation & Harvest,Ratnagiri,Gray Leaf Spot,High leaf wetness and poor air circulation
Grain Filling,Jalgaon,Leaf Spot,Bacterial infection from contaminated soil
Grain Filling,Palghar,Gray Leaf Spot,High leaf wetness and poor air circulation
Tasseling,Nashik,Leaf Blight,Fungal infection due to high humidity
Silking,Osmanabad,Leaf Blight,Fungal infection due to high humidity
Germination & Emergence,Sindhudurg,Healthy,Optimal growing conditions and good management
Seedling Stage,Sangli,Downy Mildew,Moist soil and cool nights
Tasseling,Solapur,Downy Mildew,Moist soil and cool nights
Vegetative Growth,Sindhudurg,Leaf Spot,Bacterial infection from contaminated soil
Germination & Emergence,Nandurbar,Smut,Soil-borne fungal pathogen
Germination & Emergence,Nagpur,Rust,Fungal spores spread by wind
Vegetative Growth,Thane,Healthy,Optimal growing conditions and good management
Tasseling,Jalgaon,Leaf Spot,Bacterial infection from contaminated soil
Maturation & Harvest,Mumbai Suburban,Smut,Soil-borne fungal pathogen
Tasseling,Jalgaon,Smut,Soil-borne fungal pathogen
Vegetative Growth,Palghar,Downy Mildew,Moist soil and cool nights
Maturation & Harvest,Yavatmal,Rust,Fungal spores spread by wind
Germination & Emergence,Mumbai City,Healthy,Optimal growing conditions and good management
Maturation & Harvest,Pune,Leaf Blight,Fungal infection due to high humidity
Tasseling,Dhule,Leaf Blight,Fungal infection due to high humidity
Seedling Stage,Nanded,Downy Mildew,Moist soil and cool nights
Maturation & Harvest,Raigad,Gray Leaf Spot,High leaf wetness and poor air circulation
Maturation & Harvest,Sindhudurg,Leaf Spot,Bacterial infection from contaminated soil
Vegetative Growth,Bhandara,Gray Leaf Spot,High leaf wetness and poor air circulation
Silking,Aurangabad,Smut,Soil-borne fungal pathogen
Vegetative Growth,Ahmednagar,Leaf Blight,Fungal infection due to high humidity
Tasseling,Kolhapur,Smut,Soil-borne fungal pathogen
Germination & Emergence,Sindhudurg,Leaf Spot,Bacterial infection from contaminated soil
Germination & Emergence,Sindhudurg,Gray Leaf Spot,High leaf wetness and poor air circulation
Tasseling,Hingoli,Healthy,Optimal growing conditions and good management
Maturation & Harvest,Akola,Rust,Fungal spores spread by wind
Vegetative Growth,Buldhana,Leaf Spot,Bacterial infection from contaminated soil
Seedling Stage,Nanded,Smut,Soil-borne fungal pathogen
Silking,Dhule,Healthy,Optimal growing conditions and good management
Seedling Stage,Marathwada,Downy Mildew,Moist soil and cool nights
Vegetative Growth,Kolhapur,Smut,Soil-borne fungal pathogen
Seedling Stage,Dhule,Gray Leaf Spot,High leaf wetness and poor air circulation
Seedling Stage,Mumbai City,Gray Leaf Spot,High leaf wetness and poor air circulation
Tasseling,Yavatmal,Rust,Fungal spores spread by wind
Maturation & Harvest,Dhule,Rust,Fungal spores spread by wind
Tasseling,Ratnagiri,Downy Mildew,Moist soil and cool nights
Grain Filling,Mumbai City,Rust,Fungal spores spread by wind
Vegetative Growth,Chandrapur,Leaf Spot,Bacterial infection from contaminated soil
Silking,Sindhudurg,Gray Leaf Spot,High leaf wetness and poor air circulation
Tasseling,Yavatmal,Leaf Spot,Bacterial infection from contaminated soil
Tasseling,Nagpur,Smut,Soil-borne fungal pathogen
Seedling Stage,Aurangabad,Leaf Spot,Bacterial infection from contaminated soil
Grain Filling,Ahmednagar,Leaf Spot,Bacterial infection from contaminated soil
